adaptationists,adj. (在进化和遗传中或在政治方面)能动适应的，善于适应的
adebayo,n. (Adebayo)人名；(尼日利)阿德巴约
adebisi,n. (Adebisi)人名；(尼日利)阿德比西
adecco,n. 阿第克（瑞典公司名）
Adeciduata,[医] 无蜕膜类
adecticous,无关节齿的
aded,abbr. 【军事】active duty；adenoid-degenerating 【医学】增殖腺退化
adee,abbr. addressee 受信人，收件人
adeel,n. (Adeel)人名；(阿拉伯)阿迪勒
adeem,"[法] 改赠, 废止, 撤销"
adeem a bequest,[法] 撤销遗赠
adeemed,"(adeem 的过去分词) [法] 改赠, 废止, 撤销"
adefovir,阿德福韦
adega,n. (Adega)人名；(葡)阿德加
adel,n. 爱迪尔（公司名）；阿德尔（男子名）
adela,n. 阿德拉（女子名）
adelaide,"n. 阿德莱德（女子名, 澳大利亚港市）"
Adelaidean,[网络] 阿德莱德
Adelantado,西班牙殖民地的地方行政长官
adelard,n. (Adelard)人名；(英)阿德拉德
adelbert,n. (Adelbert)人名；(西)阿德尔韦特；(英)阿德尔伯特；(德)阿德尔贝特
adele,n. 阿黛尔（女子名）
Adeleina,匿虫亚目
Adelges,[网络] 球蚜属
Adelges abietis,[网络] 云杉瘿球蚜
Adelges piceae,[网络] 冷杉球蚜；昆虫；冷杉球蚜虫
adelgid,球蚜
Adelgidae,[网络] 球蚜科
adelheid,n. (Adelheid)人名；(德)阿德尔海德
adeli, [人名] 阿德利
Adelie,[网络] 阿德利；阿德利企鹅；阿德利地企鹅
Adelie Coast,阿黛利海岸（位于澳大利亚以南的南极地区）
Adelie Land,[网络] 阿德利地；阿德利兰；企鹅着陆
Adelie penguin,un. 企鹅\n[网络] 阿德利企鹅；阿得里企鹅；阿得利企鹅
adelina,阿德利娜
adeline,n. 艾德琳（女子名）
Adeline Virginia Stephen Woolf,[网络] 阿德琳·弗吉尼亚斯蒂芬·伍尔夫
adelines,n. 艾德琳（女子名）
adeling,阿黛尔(女子名)[Adlea的异体]
adelite,砷钙镁石
adell,n. (Adell)人名；(西)阿德利；(英)阿德尔
adella,n. (Adella)人名；(意)阿代拉
adelle,n. (Adelle)人名；(英)阿德尔
adelman,n. (Adelman)人名；(英、罗、瑞典)阿德尔曼
adelmann, [人名] 阿德尔曼
Adelmann's maneuver,[医] 阿德耳曼氏手法(屈肢止血法)
Adelmann's method,[医] 阿德耳曼氏法(屈肢止血法)
Adelmann's operation,[医] 阿德耳曼氏手术(掌指关节离断术)
adeloceratous,隐角的
Adelochorda,[医] 隐索类
adelocodonic,隐铃的
adelodermatous,[医] 隐皮的
adelomorphic,隐形的
adelomorphous,"[医] 隐形的, 不显形的"
adelomorphous cell,[医] 隐形细胞
adelomycete,半知菌
Adelonosus,[医] 潜隐病毒属
adelphi,阿德尔菲（美国地名）
adelphia,[植] 离生雄蕊
adelphogamy,子母胞结合
adelpholite,铌铁锰矿
adelphosite,"[医] 无心寄生胎, 无心畸胎"
adelphotaxis,游走细胞定位
adelphotaxy,游走细胞定位
adelphous,单体雄蕊
adelserpine,安达血平
adelsheim, [地名] [德国] 阿德尔斯海姆
adelstein, [人名] 阿德尔斯坦
adem,n. (Adem)人名；(法)阿当；(阿拉伯、埃塞、土)阿德姆；(塞)阿德姆\nabbr. 急性播散性脑脊髓炎
ademola,n. (Ademola)人名；(英)阿德莫拉；(尼日利)阿德莫拉
ademonia,(精神)紧张
ademosyne,精神抑郁
ademption,"n. 撤消遗赠\n[法] 改赠, 废止, 撤销"
ademption by extinction,[法] 废止遗赠
ademption of a devise,[法] 遗赠的撤销
ademption of a gift,[法] 撤销赠与
ademption of a legacy,[法] 遗赠的撤销
adems,abbr. Advanced Diagnostic Engine Monitoring System 高级诊断器械监视系统
Aden,n. 亚丁(也门城市)
Aden fever,[医] 登革热
aden-,[医] 腺
Aden-Abyan Islamic Army,[网络] 亚丁阿比丹伊斯兰军
adena, 阿登那文化（从约公元前 10世纪至约公元 2世纪，以俄亥俄河谷为中心的早期美国印第安人文化，以环形土垒、复杂的墓丘以及高度发展的艺术风格而闻名于世 ）
adenalgia,[医] 腺痛
Adenanthera,[网络] 海红豆属；孔雀豆属；海红豆树
Adenanthera pavonina,[网络] 海红豆；孔雀豆；大海红豆
adenantherine,[化] 海红豆碱
adenase,n. [生化]腺嘌呤酶
adenasthenia,腺机能衰弱
adenasthenia gastrica,[医] 胃腺机能衰弱
Adenauer,n. (Adenauer)人名；(德)阿登纳\n阿登纳
adendric,无树突的
adendritic,[医] 无树突的
adenectomy,n. 腺切除术
adenectopia,腺异位
adenectopin,[医] 腺异位
adenemphraxis,"[医] 腺梗阻, 腺阻塞"
Adenese,adj. (也门)亚丁的；亚丁人的\nn. [单数复数同](也门)亚丁人
Adeni,adj. 亚丁的
adenia,淋巴腺增生病
adenic,[医] 腺的
adeniform,腺状的
adenine,n. 腺嘌呤\n[化] 腺嘌呤; 6-氨基嘌呤
adenine deaminase,[化] 腺嘌呤脱氨酶
adenine flavin dinucleotide,[医] 腺嘌呤黄素二核甙酸
adenine hypoxanthine,[医] 腺嘌呤次黄嘌呤
adenine methylthiopentoside,[医] 腺嘌呤甲硫[代]戊糖核甙
adenine mononucleotide,"[化] 腺嘌呤一核苷酸\n[医] 腺甙酸, 腺嘌呤核甙酸"
adenine nucleotide,[化] 腺嘌呤核苷酸
adenine nucreotide,[医] 腺嘌呤核甙酸
adenine phosphoribosyl transferase,[化] 腺嘌呤转磷酸核糖基酶
adenine sulfate,[医] 硫酸腺嘌呤
adenine-9-beta-ribofuranoside,"[医] 腺嘌呤-9-β-呋喃糖核甙, 腺甙"
adenineless,腺嘌呤缺失型
adenines,(adenine 的复数) n. 腺嘌呤\n[化] 腺嘌呤; 6-氨基嘌呤
adeninyl-,[化] 腺嘌呤基
adenitis,n. [医]腺炎
adenitis hyperplastica,[医] 增生性淋巴结炎
adenitis tropicalis,[医] 性病性淋巴肉芽肿
adenium,[医] 箭毒胶属(夹竹桃科)
Adenium multiflorum,[网络] 沙漠玫瑰何首乌
Adenium obesum,[网络] 沙漠玫瑰；沙漠玫瑰提取物；沙漠玫瑰属
adenization,"[医] 腺样变性, 腺样化"
adeno-,pref. 腺\n[医] 腺
adeno-acanthoma,"[医] 腺棘皮癌, 腺角化癌"
adeno-adamantoblastoma,"[医] 腺性成釉细胞瘤, 腺性牙釉质瘤"
adeno-angiosarcoma,[医] 腺血管肉瘤
adeno-associated,[网络] 腺病毒伴随；滤过性病毒
adeno-epithelioma,[医] 腺上皮瘤
adenoacanthoma,n. [医]腺棘皮癌
adenoblast,[医] 成腺细胞
adenocancroid,"[医] 腺角化癌, 腺棘皮癌"
adenocarcinoma,n. 腺癌\n[医] 腺癌
adenocarcinomas,(adenocarcinoma 的复数) n. 腺癌\n[医] 腺癌
adenocarcinomatous,a. adenocarcinoma的变形
adenocarcinomatous polyp,[医] 腺癌性息肉
adenocarpine,腺荚豆碱
adenocele,[医] 腺囊肿
adenocellulitis,[医] 腺蜂窝织炎
adenochirapsology,"腺病按手治疗论(古时, 英法意皇帝把按抚瘰疬患者看作是一种治疗方法)"
adenochondroma,[医] 腺软骨瘤
adenochondrosarcoma,[医] 腺软骨肉瘤
adenochrome,"[医] 肾上腺色质, 肾上腺色素"
adenocyst,[医] 腺囊瘤
adenocystic ovary,[医] 腺囊肿性卵巢
adenocystoma,[医] 腺囊瘤
adenocyte,[医] 腺细胞
adenodermia,[医] 腺皮病
adenodiastasis,"[医] 腺分离, 腺异位"
adenodynia,[医] 腺痛
adenofibroma,腺纤维瘤
adenofibroma edematodes,[医] 鼻息肉
adenofibrosis,"[医] 腺纤维变性, 腺纤维化"
adenogenesis,[医] 腺发生
adenogenous,[医] 腺原的
adenographic,[医] 腺照相术的
adenography,[医] 腺照相术
adenohypersthenia,[医] 腺机能亢进
adenohypersthenia gastrica,[医] 胃腺机能亢进
adenohypophyseal, [医]腺（性）垂体的
adenohypophysial,[医] 腺[性]垂体的
adenohypophysis,n. [解]腺(性)垂体( 前叶 )
adenoid,"a. 腺的, 淋巴组织的\n[医] 腺样的"
adenoid acne,"[医] 腺样痤疮, 播散性毛囊狼疮"
adenoid cancer,[医] 腺样癌
adenoid carcinoma,[医] 腺样癌
adenoid curet,"[医] 增殖腺刮匙, 哈特曼氏刮匙"
adenoid face,[医] 增殖腺面容
adenoid facies,[医] 增殖腺面容
adenoid tissue,[医] 淋巴组织
adenoid tumor,[医] 腺瘤
adenoid vegetation,[医] 腺样增殖体(鼻咽)
adenoid-cystic,腺样囊性
adenoidal,a. 腺样的
adenoidectomy,[医] 增殖腺切除术
adenoidism,[医] 增殖腺病
adenoiditis,增殖腺炎
adenoids,"n. 腺样增殖体, 增殖腺\n[医] 腺样增殖体, 增殖腺"
adenoleiomyofibroma,[医] 腺平滑肌纤维瘤
adenolipoma,[医] 腺脂瘤
adenolipomatosis,[医] 腺脂瘤病
adenologaditis,[医] 新生儿眼炎; 眼腺结膜炎
adenology,n. 腺学(一门研究腺的性质和功能的学科)
adenolymphitis,[医] 淋巴结炎
adenolymphocele,[医] 淋巴结囊肿
adenolymphoma,[医] 腺淋巴瘤
adenoma,n. 腺瘤\n[医] 腺瘤
adenoma acinosum,[医] 泡状腺瘤
adenoma adamantinum,[医] 牙釉质瘤
adenoma alveolare,[医] 泡状腺瘤
adenoma carcinomatodes renis,[医] 肾癌样腺瘤
adenoma destruens,[医] 破坏性腺瘤
adenoma diffusum,[医] 弥漫性腺瘤
adenoma endometrioides,[医] 卵巢子宫内膜异位
adenoma fibrosum,[医] 纤维腺瘤
adenoma gelatinosum,"[医] 胶样腺瘤, 胶样甲状腺肿"
adenoma hidradenoides,"[医] 汗腺样腺瘤, 汗腺腺瘤"
adenoma hidradenoides vulvae,[医] 外阴汗腺样腺瘤
adenoma ovarii testiculare,"[医] 卵巢男性细胞瘤, 卵巢睾丸状小管瘤"
adenoma papilliforum,[医] 乳头状腺瘤
adenoma polsposum,[医] 息肉状腺瘤
adenoma psammosum,[医] 沙粒腺瘤
adenoma racemosum,[医] 葡萄状腺瘤
adenoma sebaceum,"[医] 皮脂腺腺瘤, 普林格耳氏病"
adenoma simplex,[医] 单纯性腺瘤
adenoma sudoriparum,[医] 汗腺腺瘤
adenoma tubulare testiculare ovarii,"[医] 卵巢睾丸状小管瘤, 卵巢男性细胞瘤"
adenomalacia,腺软化
adenomammectomy,[医] 乳腺切除术
adenomas,pl. 腺瘤
adenomata,pl. 腺瘤
adenomatoid,a. [医]腺瘤(状)的
adenomatome,[医] 腺瘤刀
adenomatosis,腺瘤病
adenomatosis acidophilica,[医] 嗜酸性腺瘤病
adenomatous,a. 腺瘤\n[医] 腺瘤的
adenomatous goiter,[医] 腺瘤性甲状腺肿
adenomatous polyp,[医] 腺瘤性息肉
adenomegaly, [医]腺（肿）大
adenomere,腺节[胚]
adenomesenteritis,[医] 肠系膜淋巴结炎
adenomycosis,[医] 腺霉菌病
adenomyoepithelioma,腺肌上皮瘤
adenomyofibroma,[医] 腺肌纤维瘤
adenomyoma,腺肌瘤
adenomyoma psammopapillare,[医] 沙粒乳头状腺肌瘤
adenomyomatosis,[医] 腺肌瘤病
adenomyometritis,[医] 子宫腺肌炎
adenomyosarcoma,腺肌肉瘤
adenomyosis,[医] 子宫内膜异位
adenomyosis externa,[医] 子宫外子宫内膜异位
adenomyosis interna,[医] 子宫内子宫内膜异位
adenomyositis,[医] 子宫腺肌炎
adenomyxoma,[医] 腺粘液瘤
adenomyxosarcoma,[医] 腺粘液肉瘤
adenoncus,[医] 腺肿
adenoneural,[医] 腺神经的
adenoneure,"[医] 腺神经元, 分泌神经元"
adenopathy,n. 腺病\n[医] 腺病
adenopharyngitis,咽扁桃体炎
adenophlegmon,[医] 蜂窝织炎性腺炎
Adenophora capillaris Hemsl.,[医] 线齿沙参
Adenophora Fisch.,[医] 沙参属
Adenophora latifolia Fisch.,[医] 阔叶沙参
Adenophora paniculata Nannf.,[医] 紫沙参
Adenophora pereskiifolia G.Don.,[医] 阔叶沙参
Adenophora polymorpha var. alternifolia,[医] 互叶沙参
Adenophora polymorpha var. latifolia,[医] 阔叶沙参
Adenophora potanini Korsh.,[医] 山沙参
Adenophora scabridula Nannf.,[医] 糙萼沙参
Adenophora stricta Miq.,[医] 挺枝沙参
Adenophora tetraphylia Fisch.,[医] 轮叶沙参
Adenophora trachelioides,[医] ūú
Adenophora verticillata,[医] 轮叶沙参
Adenophora wawreana A. Zahlb.,[医] 华氏沙参
adenophore,腺柄
Adenophorea,有腺纲
adenophthalmia,[医] 睑板腺炎
adenophyllous,a. 【植物学】具腺叶的
adenophyma,淋巴结肿
adenosarcoma,腺肉瘤
adenosarcorhabdomyoma,[医] 腺横纹肌肉瘤
adenosclerosis,[医] 腺硬化
adenose,"腺样的, 有腺的"
"adenosin (A,Ado)",[化] 腺嘌呤核苷; 腺苷
adenosin phosphoric acid,[化] 腺苷磷酸
adenosinase,腺苷酶
adenosine,n. 腺苷\n[化] 腺嘌呤-9β-呋喃核糖苷; 腺苷
"adenosine (A,Ado)",[化] 腺嘌呤核苷; 腺苷
adenosine deaminase,[化] 腺苷脱氨酶\n[医] 腺甙脱氨酶
adenosine diphosphatase,[化] 二磷酸腺苷酶
adenosine diphosphate,[医] 二磷酸腺甙(腺[甙]二磷)
adenosine diphosphate(ADP),[化] 二磷酸腺苷; 腺苷二磷酸
adenosine hydrolase,[医] 腺甙[水解]酶
adenosine kinase,[化] 腺苷激酶; 肌激酶
adenosine monophosphate,[医] 一磷酸腺甙(腺[甙]一磷)
adenosine monophosphate (AMP),[化] 腺苷一磷酸; 腺苷酸
adenosine triphosphase,[建] 腺嘌三磷酸
adenosine triphosphatase,[化] 三磷酸腺苷酶; 腺苷三磷酸酶\n[医] 三磷酸腺甙酶(腺[甙]三磷酶)
adenosine triphosphate,三磷酸腺苷\n[医] 三磷酸腺甙(腺[甙]三磷)
adenosine triphosphate (ATP),[化] 腺苷三磷酸; 三磷酸腺苷
adenosine triphosphoric acid,[化] 腺苷三磷酸\n[医] 三磷酸腺甙(腺[甙]三磷)
"adenosine-2',3'-phosphate","[化] 腺苷-2',3'-磷酸"
adenosine-5'-phosphosulfate(APS),[化] 腺苷酰硫酸; 腺苷-5'-磷酸硫酸酐
adenosinetriphosphatase,[医] 三磷酸腺甙酶(腺[甙]三磷酶)
adenosinhydrolase,[医] 腺甙[水解]酶
adenosis,n. [医] 腺病
adenosis scrofulosa,"[医] 腺病质腺病, 瘰疬"
adenositis,腺炎
adenosterone,[医] 肾上腺酮
adenosyl,腺苷\n腺苷基
adenosyl-,[化] 腺苷; 腺嘌呤核苷基
adenosylmethionine,n. [生化] 腺苷甲硫氨酸
adenosyltransferase,腺苷三磷酸钴胺素腺苷转移酶
adenosynchitonitis,[医] 睑板腺炎; 新生儿眼脓溢
Adenota,[网络] 阿登诺塔
adenotome,[医] 腺刀; 增殖腺刀
adenotomy,[医] 增殖腺切除术; 腺解剖术
adenotonsillectomy,[医] 增殖腺扁桃体切除术
adenotyphus,[医] 腺型斑疹伤寒
adenotyphus fever,[医] 腺型斑疹伤寒
adenous,[医] 腺的
adenoviral, [医]腺病毒的
adenovirion,腺病毒子
adenovirus,n. 腺病毒\n[医] 腺病毒
adenoviruses,n. 腺病毒（adenovirus的复数形式）
adensine monophosphate,[建] 腺嘌酸
adenyl,n. [生化] 腺嘌呤(基)
adenyl cyclase,[化] 腺苷酸环化酶
adenyl(yl) luciferin,[化] 腺苷酰虫荧光素
adenyl(yl) oxyluciferin,[化] 腺苷酰氧化虫荧光素
adenyl-,[化] 腺嘌呤; 腺嘌呤基; 腺苷(基)(误用); 腺苷酸(误用); 腺苷酰(基)(误用)
adenyl-pyrophosphatase,[医] 三磷酸腺甙酶
adenyl-pyrophosphate,[医] 三磷酸腺甙(腺[甙]三磷)
adenylate,vt.[生化] 将(信使核糖核酸等)转换成腺苷酸
adenylate cyclase,[化] 腺苷酸环化酶
adenylic,adj. adenylic acid 【生物化学】腺甘酸
adenylic acid,"[化] 腺苷磷酸\n[医] 腺甙酸, 一磷酸腺甙"
adenylic acid (AMP),[化] 腺苷酸; 腺嘌呤核苷酸; 腺苷一磷酸
adenylic acid deaminase,[医] 腺甙酸脱氨酶
adenylic deaminase,[化] 腺苷酸脱氨酶
adenylo-,[化] 腺苷酸基; 腺嘌呤核苷酸基
adenylosuccinase,[化] 腺苷酸琥珀酸酶; 腺苷酸基琥珀酸裂解酶
adenylosuccinate,[化] 腺苷酸琥珀酸; 腺苷酸基琥珀酸
adenylosuccinate lyase,[化] 腺苷酸琥珀酸裂解酶; 腺苷酸基琥珀酸裂解酶
adenylosuccinate synthetase,[化] 腺苷酸琥珀酸合成酶; 腺苷酸基琥珀酸合成酶
adenylosuccinic acid,[化] 腺苷酸琥珀酸; 腺苷酸基琥珀酸
adenylpyrophosphate,[化] 腺苷焦磷酸(即腺苷三磷酸)
adenylyl,n. 腺苷
adenylyl transferase,[化] 腺苷酰转移酶; 腺苷酰基转移酶
adenylyl-,[化] 腺苷酰; 腺嘌呤核苷酰基
adenylylated,[网络] 腺苷酸化
adenylylating,[网络] 腺苷酰化
adenylylation,[化] 腺苷酰化; 腺苷酰化作用
adenylylsulfate pyrophosphorylase,[化] 腺苷酰硫酸焦磷酸化酶
Adeodatus,阿德奥达图斯一世(即Saint Deusdedit)
adeoniform,腺状的
Adephage,肉食甲
adephagia,[医] 贪食
adeps,"动物脂肪, 纯化了的猪腹内的脂肪"
adeps anserinus,[医] 鹅脂
adeps benzoinatus,"[医] 安息香豚脂, 苯甲酸豚脂"
adeps ex fele,[医] 猫脂
adeps induratus,[医] 硬豚脂
adeps lanae,[化] 羊毛脂\n[医] 羊毛脂(无水羊毛脂)
adeps lanae hydrosus,[医] 羊毛脂
adeps ovillus,[医] 羊脂
adeps porci,[医] 豚脂
adeps praeparatus,"[医] 精制豚脂, 炼豚脂"
adeps renis,[医] 肾脂肪囊
adeps suillus,[医] 豚脂
adept,"a. 熟练的, 老练的, 巧妙的\nn. 能手, 内行"
adepted,adj. 熟练的，有技能的，精通的，内行的，擅长的；巧妙的\nn. adept；专家；内行；能手；熟练者
adepter,adept的比较级
adeptest,adept的最高级
adeption,[经] 取消遗嘱赠予
adeptism,"重用专家的作风, 用人唯贤"
adeptly,老练地\n熟练地
adeptness,n. 熟练
adepts,"n. 专家, 能手( adept的复数形式 )"
adequacies,"(adequacy 的复数) n. 适当, 足够"
adequacy,"n. 适当, 足够"
adequal,[网络] 合适的
adequal cleavage,[医] 近等裂
adequate,"a. 适当的, 足够的\n[法] 胜任的, 适当的, 充分的"
adequate assurance,"[经] 充分保证, 溢价(贴水,佣金)保证"
adequate care,[法] 善良管理人的注意
adequate cause,[法] 充分理由
adequate compensation,[法] 适当的补偿
adequate consideration,[法] 适当的约因
adequate diet,[医] 适当饮食
adequate disclosure,[经] 充分反映
adequate lubrication,[机] 适当的润滑作用壑G核
adequate measures,[法] 适当措施
adequate notice,[法] 合理的通知
adequate nutrition,[医] 适量营养
adequate protection,[经] 充分保护(法定权利)
adequate proteins,"[医] 适宜蛋白, 完全蛋白"
adequate remedy,"[法] 足够补偿, 足额补偿"
adequate stimulus,"[医] 适宜刺激物, 同种刺激物"
adequate stock,[经] 存货充足
adequate to,"胜任, 适于；适合"
adequately,"adv. 足够地, 适当地"
adequateness,n. adequate的变形
adequation,"拉平, 拉直, 使平"
ader,n. 阿德（男子名）
ader wax,[经] 粗地蜡
aderenal medulla,[医] 肾上腺髓质
adergneiss,脉状片麻岩
aderhold, [人名] 阿德霍尔德
adermata,透蛹
adermia,"无皮(畸形), 先天缺皮症"
adermin,n. 维生素B6之别名
adermogenesis,皮肤发育不全
adermotrophia,[医] 皮肤萎缩
ADES,"[计] 自动数据输入系统, 自动数字编码系统"
adesmosis,结缔组织萎缩
ADESS,[计] 自动数据编辑与转换系统
adessee,[法] 出庭
adessive,n. [语]位置格\na. 位置格的
adesso,n. (Adesso)人名；(意)阿代索
adet,n. (Adet)人名；(法)阿代
adetopneustic,皮鳃呼吸的
adeu,"[法] 不定期, 无限期"
ADEX,[计] 先行数据输入执行\n[医] 阿德克司(维生素A、D片的商品名)
adexolin,阿德克索林(维生素A、D制品)
adey,阿迪（人名）
ADF,[计] 应用开发设施
adfa,abbr. Australian Department of Foreign Affairs 澳大利亚外事局; Australian Dried Fruits Association 澳大利亚干果协会; Australian Defence Force Academy 澳大利亚防御部队研究所; automatic direction finding approach 自动测向进场
adfg,abbr. arbitrary diode function generator 二极管任意函数发生器
adfl,abbr. Association of Departments of Foreign Languages 外语系协会
adfluxion,[机] 汇流
adfreezing,冻附; 冻硬
adfrontal,旁侧片
adfs,abbr. 活动目录联合服务（Active Directory Federation Services）；自动测向系统（Automatic Direction Finding System）
adgenic,[医] 附颏的
adgenic cyst,[医] 附颏囊肿
adger,阿杰（人名）
adglutinate,"[机] 烧结, 胶结物, 凝集"
ADH,[医] 抗利尿激素
adhaesio,[医] 粘连; 粘着物
adhaesio interthalamica,[医] 中间块
adham,n. (Adham)人名；(阿拉伯)阿扎姆
adhan,[网络] 宣礼；宣礼艾赞；宣礼词
Adhara,弧矢七
Adhatoda Nees,[医] 鸭嘴花属
Adhatoda vasica Nees,[医] 鸭嘴花
adhd,abbr. 注意力不集中症（ attention deficit hyperactivity disorder ）
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护\nvt. 使粘附"
adhere to,"执着于,坚持,粘附于,信奉…"
adhere to an agreement,恪守协议
adhered,v. 坚持；粘附；依附（adhere的过去分词）
adhereing,"(adhere 的现在分词) vi. 依附, 粘着, 坚持, 追随, 拥护\nvt. 使粘附"
adherence,"n. 依附, 固执, 坚持\n[化] 粘合"
adherence to a contract,[法] 信守契约
adherency,[化] 粘合
adherend,[机] 粘附体
adherens," [医]附着的； 粘附的, 粘连的"
adherent,"n. 信徒, 追随者\na. 附着的, 发生联系的"
adherent capsule,[医] 粘着囊
adherent cataract,[医] 粘着性内障
adherent denticle,[医] 附着髓石
adherent lens,"[医] 附着透镜, 接触镜片"
adherent pericardium,[医] 粘连性心包炎
adherent placenta,[医] 粘连胎盘
adherent prepuce,"[医] 粘连包皮, 包皮粘连"
adherent tongue,[医] 粘连舌
adherent ulcer,[医] 粘着性溃疡
adherently,附着地\n粘连地
adherents,"n. 支持者, 拥护者( adherent的复数形式 ); 党羽; 徒子徒孙"
adherer,n. adhere的变形
adheres,v. 黏附( adhere的第三人称单数 ); 附着; 坚持; 支持
adhering,"a. 附着, 粘附性的；粘附的"
adhering liquid,[医] 粘着液
adhering molding saand,[机] 粘著模砂
adhering motion,[法] 附议
adherography,胶印法
adherometer,"粘合[附]计, (橡胶)密着力试验机, 涂粘计"
adheroscope,粘附器
adhesie cement,[机] 粘合剂
adhesiectomy,粘边切除术
adhesin, 黏附素
adhesins,(adhesin 的复数)  黏附素
adhesion,"n. 附着, 粘着, 支持, 追随\n[化] 粘合; 粘附; 附着; 粘合力; 粘附力; 附着力"
adhesion agent,[化] 粘合剂
adhesion coefficient,[机] 粘附系数
adhesion contract,[经] 服从契约
adhesion dyspepsia,[医] 粘连性消化不良
adhesion factor,[化] 粘合系数
adhesion heat,[机] 粘附热
adhesion locomotive,[机] 加附机车
adhesion motor,[机] 加附电动机
adhesion of film,[机] 薄膜粘附
adhesion phenomenon,"[医] 粘连现象, 里肯伯格氏现象"
adhesion power,[化] 粘合力; 密着力
adhesion preventives,[化] 防粘剂
adhesion railway,[机] 摩擦铁路
adhesion reaction,[医] 粘着反应
adhesion strength,[化] 粘附强度
adhesion test,[医] 粘连试验(检传染性黄疸)
adhesion test(ing),[化] 密着力试验; 剥离试验
adhesion weight,[机] 粘附重量
adhesion work,[化] 粘附功
adhesion(-type) tire,[化] 抗滑轮胎; 雪泥轮胎
adhesional,[物] 粘附的
adhesional energy,[机] 粘附能
adhesional wetting,[机] 粘润作用
adhesions,"(adhesion 的复数) n. 附着, 粘着, 支持, 追随\n[化] 粘合; 粘附; 附着; 粘合力; 粘附力; 附着力"
adhesiotomy,[医] 粘连[物]切离术
adhesive,"a. 粘着的, 涂有粘性物质的\nn. 粘合剂, 橡皮膏"
adhesive absorbent bandage,[医] 吸收性橡胶绷带
adhesive action,[机] 胶粘作用
adhesive agent,[机] 附着剂
adhesive attraction,[机] 粘吸作用
adhesive backed,[机] 涂满胶粘剂的
adhesive bandage,[医] 橡胶绷带
adhesive binding, 胶粘装订
adhesive capacity,[机] 胶粘度
adhesive cement,[化] 胶浆; 胶浆子; 胶水
adhesive coating,[化] 粘合层
adhesive culture,[机] 胶粘培养
adhesive excipient,[医] 粘着性赋形剂
adhesive face,[计] 粘附面
adhesive failure,[化] 密着破坏; 脱胶
adhesive force,[化] 附着力; 粘合力
adhesive force power,[机] 粘着力
adhesive friction,[网络] 黏著摩擦
adhesive gold,[医] 凝聚[性]金
adhesive inflammation,[医] 粘连性炎
adhesive interlayer,[化] 胶浆夹层
adhesive made of synthetic resin,[化] 合成树脂胶粘剂
adhesive material,[机] 附着剂
adhesive meter,[医] 胶粘计
adhesive pericarditis,[医] 粘连性心包炎
adhesive peritonitis,[医] 粘连性腹膜炎
adhesive phlebitis,[医] 粘连性静脉炎
adhesive plaster,"[医] 绊创膏, 橡皮膏"
adhesive pleurisy,"[医] 粘连性胸膜炎, 干性胸膜炎"
adhesive power,[化] 粘合力
adhesive property,"[机] 附着性, 粘着性"
adhesive pylephlebitis,[医] 粘连性门静脉炎
adhesive revenue stamp,[经] 印花税票
adhesive serositis,[医] 粘连性浆膜炎
adhesive slate,"[机] 胶粘板岩, 胶粘石板"
adhesive strength,[化] 粘合强度; 胶粘强度\n[医] 胶粘强度
adhesive stress,[机] 附着应力
adhesive tape,胶带\n[化] 胶带
adhesive tenosynovitis,[医] 粘着性腱鞘炎
adhesive tension,[机] 胶粘(张)力
adhesive test,[机] 胶粘试验
adhesive tractive force,[机] 粘着牵引力
adhesive tractive force power,[机] 粘着牵引力
adhesive varnish,[化] 粘合清漆
adhesive wax,[医] 粘蜡
adhesive wear,[化] 粘着磨损
adhesive-bonded fabric,[化] 无纺织布
adhesively,adv. 胶着地；黏附地
adhesiveness," 粘[附着, 胶粘]性, 粘附[胶粘]度"
adhesiveness of oils,[机] 油类的胶粘性
adhesiver,adhesive的比较级
adhesives,n. 粘合剂（adhesive的复数）
adhesivity,[化] 粘合性
adhesivity test,[机] 胶粘试验
Adhib.,[医] 应给予
adhibit,"vt. 贴, 粘, 采用, 引入"
adhibition,"n. 应用, 贴用"
adhikari,n. (Adhikari)人名；(孟、尼、印)阿迪卡里
adhint,"粘合接头, 胶接"
adhoc,adj. （拉丁语）特别的；特定的；临时安排的
adhocracies,"(adhocracy 的复数) n. (为某一特定目的而设立的)临时委员会, 特别委员会; 临时委员会政治, 特别委员会说了算；特别委员会政治体制"
adhocracy,"n. (为某一特定目的而设立的)临时委员会, 特别委员会; 临时委员会政治, 特别委员会说了算；特别委员会政治体制"
adhocratic,[网络] 建制化
ADHS,[计] 自动数据处理系统
adhyoid,附于舌骨的
adhyoid cyst,[医] 附舌骨囊肿
adi,abbr. 每日允许摄入量（acceptable daily intake）；美国文献工作学会（American Documentation Institute）
Adi Granth,[网络] 阿第格兰斯；阿底格兰特；本初经
adia,n. (Adia)人名；(丹)阿迪亚\nabbr. 阿布扎比投资局（Abu Dhabi Investment Authority）
adiabat,n. 绝热线\n[化] 绝热线
adiabatic,a. 绝热的\n[化] 绝热的
adiabatic apparatus,[机] 绝热装置
adiabatic approximation,[化] 浸渐近似; 绝热式近似
adiabatic calorimeter,[化] 绝热量热计; 绝热量热器; 绝热式热量计\n[医] 绝热测热计
adiabatic catalytic cracking,[化] 绝热式催化裂化
adiabatic change,[机] 绝热变化
adiabatic coating,[化] 绝热涂料
